village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET,accessibility_score,final_suitability
521116,Kothwada,Padra,22.110103,73.07992,235.0,8.51,4.68,780.0,3.319,2,0,1,0.0,0.0,10.0,28.0,0.539,0.618,82.2,66300.0,0,Private / Mixed,Medium,High,0.628,3699,0.09900990099009901,0.516216
521113,Shahera,Padra,22.100724,73.017333,310.0,5.81,4.84,869.0,2.803,1,0,1,0.0,1.0,17.0,37.0,0.512,0.593,108.2,73865.0,0,Private / Mixed,Medium,Moderate,0.526,4869,0.05847953216374269,0.5691320000000001
521117,Vasnaref,Padra,22.08068,72.97523,434.0,5.76,3.23,407.0,0.938,2,0,1,0.0,1.0,16.0,51.0,0.506,0.586,151.9,34595.0,0,Private / Mixed,Medium,Moderate,0.735,6835,0.06211180124223602,1.116465
521119,Sokhdaraghu,Padra,22.064954,72.97663,351.0,3.98,0.57,2015.0,5.741,2,0,1,0.0,1.0,15.0,51.0,0.527,0.626,122.8,171275.0,0,Private / Mixed,Medium,Moderate,0.685,5526,0.06622516556291391,0.84118
519899,Kashipura,Vadodara Rural,22.116365,73.166323,469.0,0.42,0.84,1117.0,2.382,2,1,2,0.0,1.0,8.0,22.0,0.402,0.606,164.1,94945.0,0,Private / Mixed,Medium,High,0.768,7384,0.1234567901234568,1.260288
519898,Sarar,Vadodara Rural,22.104863,73.149804,1103.0,0.2,1.08,2480.0,2.248,2,0,2,0.0,1.0,8.0,20.0,0.482,0.607,386.0,210800.0,0,Private / Mixed,Medium,High,0.74,17370,0.1234567901234568,2.8564
251215,Karjan,Karjan,22.053736,73.127378,0.0,3.5549999999999997,2.8899999999999997,30405.0,2.3600000000000003,0,0,0,0.0,0.0,0.0,35.0,0.651,0.286,0.0,2584425.0,0,Private / Mixed,Medium,High,0.249,0,10.0,0.0
520999,Mandala,Dabhoi,22.082633,73.328643,1879.0,0.43,1.6,3427.0,1.824,3,1,2,0.0,1.0,10.0,30.0,0.522,0.574,611.4,291295.0,0,Private / Mixed,Medium,High,0.881,27513,0.09900990099009901,5.3864339999999995
520998,Parikha,Dabhoi,22.082741,73.291885,666.0,1.05,8.87,1131.0,1.698,2,0,2,0.0,1.0,15.0,25.0,0.424,0.286,233.1,96135.0,0,Private / Mixed,Medium,Moderate,0.809,10489,0.06622516556291391,1.885779
520973,Nada,Dabhoi,22.131256,73.375066,1044.0,0.0,1.82,1826.0,1.749,3,1,0,0.0,1.0,5.0,35.0,0.293,0.573,336.4,155210.0,0,Private / Mixed,Medium,High,0.962,15137,0.19607843137254904,3.2361679999999997
520979,Sejpura,Dabhoi,22.122262,73.298782,233.0,0.0,4.31,421.0,1.807,2,0,0,0.0,1.0,12.0,30.0,0.487,0.621,79.4,35785.0,0,Private / Mixed,Medium,High,0.642,3573,0.08264462809917356,0.509748
520982,Tharvasa,Dabhoi,22.112532,73.392616,340.0,4.71,0.0,731.0,2.15,3,0,0,0.0,1.0,3.0,45.0,0.404,0.586,119.0,62135.0,0,Private / Mixed,Medium,High,0.879,5355,0.3225806451612903,1.0460099999999999
520981,Baripura,Dabhoi,22.112979,73.33336,388.0,16.24,3.87,720.0,1.856,2,0,0,0.0,1.0,9.0,27.0,0.497,0.605,135.8,61200.0,0,Private / Mixed,Medium,High,0.716,6111,0.10989010989010989,0.972328
520980,Vakhatpura,Dabhoi,22.115875,73.315005,181.0,13.26,0.0,180.0,0.994,1,0,0,0.0,1.0,11.0,30.0,0.528,0.576,63.4,15300.0,0,Private / Mixed,Medium,High,0.463,2853,0.0900900900900901,0.293542
