village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,drainage_quality_score,road_connectivity_score,healthcare_access_score,surface_water_exposure,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,exposure_score_TARGET,vulnerability_score_TARGET,composite_risk_score_TARGET,priority_category_TARGET,hazard_diversity,max_hazard,exposure_score_calc,risk_category,red_zone_priority
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,59.47,3.277,1,1,0,1,0.364,0.98,0.95,0.631,0.705,0.688,0.67,High (Relocation Priority),0.2913478733976504,0.98,20.94003,High,428.13000000000005
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,26.07,1.887,1,2,0,1,0.516,0.98,0.95,0.639,0.618,0.404,0.602,Medium (Mitigation),0.2296161652265217,0.98,22.00242,Moderate,701.932
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,12.67,3.948,0,2,0,1,0.49,0.98,0.95,0.629,0.747,0.351,0.605,Medium (Mitigation),0.24120582497112292,0.98,35.84784,Moderate,549.34
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,23.38,0.975,0,2,0,0,0.479,0.98,0.937,0.607,0.061,0.394,0.475,Medium (Mitigation),0.24614138890754098,0.98,0.75075,Moderate,36.574999999999996
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,10.42,3.49,0,2,0,1,0.553,0.98,0.911,0.592,0.718,0.342,0.604,Medium (Mitigation),0.2177689907524332,0.98,54.9326,Moderate,950.696
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,57.01,4.509,0,2,0,1,0.466,0.98,0.9,0.585,0.782,0.528,0.652,High (Relocation Priority),0.2463674423836613,0.98,79.49367000000001,High,1149.476
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,49.0,1.347,2,2,0,1,0.346,0.98,0.95,0.648,0.584,0.496,0.585,Medium (Mitigation),0.29725185729725334,0.98,11.46297,Moderate,497.835
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,28.37,3.16,1,2,0,1,0.532,0.98,0.95,0.627,0.698,0.413,0.623,Medium (Mitigation),0.22625409756878803,0.98,38.646800000000006,Moderate,761.929
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,9.04,1.896,1,2,0,1,0.51,0.98,0.912,0.585,0.618,0.336,0.572,Medium (Mitigation),0.23375681808238236,0.98,13.8408,Moderate,417.55999999999995
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,9.37,3.174,0,1,0,1,0.569,0.98,0.899,0.593,0.698,0.487,0.646,Medium (Mitigation),0.20983386285344893,0.98,19.64706,Moderate,399.874
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,26.9,2.709,2,2,0,0,0.34,0.98,0.95,0.625,0.169,0.408,0.473,Medium (Mitigation),0.30214166103557005,0.98,32.724720000000005,Moderate,571.384
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,7.74,4.887,2,2,1,0,0.512,0.98,0.95,0.649,0.305,0.181,0.472,Medium (Mitigation),0.2292558614299752,0.98,54.92988,Moderate,530.528
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,12.04,6.696,0,2,1,1,0.559,0.98,0.934,0.606,0.918,0.198,0.606,Medium (Mitigation),0.2178782152181963,0.98,187.42104,Moderate,1696.194
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,36.72,4.541,1,1,0,1,0.441,0.98,0.95,0.615,0.784,0.597,0.674,High (Relocation Priority),0.2623972814899829,0.98,143.31396,High,2127.1440000000002
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,17.94,0.878,1,2,0,1,0.375,0.98,0.95,0.636,0.555,0.372,0.548,Medium (Mitigation),0.2861530767497238,0.98,1.95794,Moderate,122.20400000000001
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,25.36,2.956,2,2,0,1,0.507,0.98,0.921,0.597,0.685,0.401,0.606,Medium (Mitigation),0.23423118921270925,0.98,51.64131999999999,Moderate,1058.682
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,28.63,2.3600000000000003,0,0,0,0,0.548,0.02,0.921,0.596,0.148,0.7,0.502,Medium (Mitigation),0.3729855895339657,0.921,7.339600000000002,Moderate,156.122
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,28.63,2.3600000000000003,0,0,0,0,0.55,0.02,0.906,0.587,0.148,0.7,0.5,Medium (Mitigation),0.3671115861242555,0.906,0.0,Moderate,0.0
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,57.3,1.532,0,2,0,1,0.529,0.98,0.899,0.584,0.596,0.529,0.629,Medium (Mitigation),0.22470870032110463,0.98,13.6348,Moderate,559.8100000000001
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,23.88,2.638,0,3,0,0,0.538,0.98,0.911,0.595,0.165,0.246,0.462,Medium (Mitigation),0.22184529143827536,0.98,51.36186,Moderate,899.514
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,46.42,2.054,1,2,0,1,0.393,0.98,0.95,0.65,0.628,0.486,0.602,Medium (Mitigation),0.2769878156164996,0.98,34.46612,Moderate,1010.156
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,30.56,1.623,1,2,0,1,0.498,0.98,0.936,0.606,0.601,0.422,0.596,Medium (Mitigation),0.23919030080670078,0.98,19.703219999999998,Moderate,723.544
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,16.92,3.319,1,2,0,1,0.539,0.98,0.95,0.618,0.707,0.368,0.612,Medium (Mitigation),0.22579692203393736,0.98,25.8882,Moderate,477.36
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,19.79,2.803,1,1,0,1,0.512,0.98,0.915,0.593,0.675,0.529,0.643,Medium (Mitigation),0.2319612036526798,0.98,24.358069999999998,Moderate,558.767
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,15.97,0.938,1,2,0,1,0.506,0.98,0.899,0.586,0.559,0.364,0.567,Medium (Mitigation),0.23189275538489768,0.98,3.8176599999999996,Moderate,230.76899999999998
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,18.46,5.741,1,2,0,1,0.527,0.98,0.95,0.626,0.859,0.374,0.643,Medium (Mitigation),0.22824164825903268,0.98,115.68115,Moderate,1295.645
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,50.49,2.382,2,2,1,1,0.402,0.98,0.935,0.606,0.649,0.352,0.563,Medium (Mitigation),0.27536808699145465,0.98,26.606939999999998,Moderate,628.871
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,28.59,2.248,2,2,0,1,0.482,0.98,0.938,0.607,0.641,0.414,0.598,Medium (Mitigation),0.24529217272469173,0.98,55.750400000000006,Moderate,1483.04
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,28.63,2.3600000000000003,0,0,0,0,0.651,0.02,0.388,0.286,0.148,0.7,0.448,Medium (Mitigation),0.26095002714440685,0.651,717.558,Moderate,13621.44
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,53.02,1.824,2,3,1,1,0.522,0.98,0.895,0.574,0.614,0.212,0.534,Medium (Mitigation),0.2285277153140657,0.98,62.50848,Moderate,1830.018
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,48.28,1.698,2,2,0,1,0.424,0.044,0.391,0.286,0.606,0.493,0.429,Medium (Mitigation),0.1718844088333785,0.424,19.20438,Moderate,485.199
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,52.52,1.749,0,3,1,1,0.293,0.98,0.901,0.573,0.609,0.21,0.482,Medium (Mitigation),0.31616280089008997,0.98,31.93674,Moderate,880.132
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,97.0,83.37,1.807,0,2,0,0,0.487,0.98,0.941,0.621,0.113,0.633,0.561,Medium (Mitigation),0.24150966164248308,0.98,7.607469999999999,Moderate,236.181
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,151.0,38.99,2.15,0,3,0,1,0.404,0.98,0.909,0.586,0.634,0.306,0.542,Medium (Mitigation),0.27149754449472774,0.98,15.716499999999998,Moderate,396.20200000000006
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,168.0,30.83,1.856,0,2,0,1,0.497,0.98,0.935,0.605,0.616,0.423,0.599,Medium (Mitigation),0.23950417532894913,0.98,13.3632,Moderate,431.28
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,47.0,38.89,0.994,0,1,0,1,0.528,0.98,0.881,0.576,0.562,0.606,0.642,Medium (Mitigation),0.22309545789489604,0.98,1.7892,Moderate,115.56
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,373.0,34.95,1.724,0,3,0,1,0.512,0.98,0.927,0.584,0.608,0.29,0.558,Medium (Mitigation),0.23694355868012112,0.98,29.10112,Moderate,941.9040000000001
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,260.0,38.21,2.135,2,2,1,1,0.541,0.98,0.912,0.593,0.633,0.303,0.573,Medium (Mitigation),0.22158895881037635,0.98,24.979499999999998,Moderate,670.41
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,192.0,35.19,2.155,1,2,0,1,0.445,0.98,0.95,0.614,0.635,0.441,0.598,Medium (Mitigation),0.2610177197050039,0.98,19.782899999999998,Moderate,548.9639999999999
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,241.0,57.25,2.345,2,2,0,0,0.416,0.98,0.95,0.63,0.147,0.529,0.522,Medium (Mitigation),0.27000740730579964,0.98,24.575600000000005,Moderate,547.056
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,109.0,16.8,1.668,1,0,0,1,0.457,0.98,0.928,0.606,0.604,0.667,0.66,High (Relocation Priority),0.25229529656072996,0.98,8.03976,High,318.12
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,418.0,21.76,2.599,1,3,1,1,0.507,0.98,0.924,0.598,0.662,0.087,0.508,Medium (Mitigation),0.23474010451277103,0.98,48.965160000000004,Moderate,957.072
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,180.0,39.08,1.298,1,2,0,1,0.363,0.98,0.95,0.615,0.581,0.456,0.574,Medium (Mitigation),0.29369939280382135,0.98,10.396980000000001,Moderate,459.77399999999994
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,94.0,52.79,1.677,0,2,0,1,0.531,0.98,0.864,0.563,0.605,0.511,0.62,Medium (Mitigation),0.2220097595452356,0.98,6.607380000000001,Moderate,244.28
521020,Manpur,Dabhoi,22.05,73.448552,371.0,92.0,30.19,1.995,0,2,0,0,0.558,0.98,0.889,0.578,0.125,0.421,0.507,Medium (Mitigation),0.21499050366624725,0.98,7.4014500000000005,Moderate,188.097
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,225.0,34.1,2.178,0,3,0,1,0.416,0.98,0.95,0.606,0.636,0.286,0.545,Medium (Mitigation),0.2736274839996889,0.98,23.761979999999998,Moderate,594.595
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,415.0,47.05,1.923,0,3,1,1,0.497,0.98,0.901,0.587,0.62,0.188,0.524,Medium (Mitigation),0.23521107541950484,0.98,34.86399,Moderate,950.0120000000001
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,25.69,2.266,0,2,0,1,0.536,0.98,0.919,0.596,0.642,0.403,0.604,Medium (Mitigation),0.22415229198025166,0.98,22.22946,Moderate,592.524
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,18.93,2.449,0,3,0,0,0.506,0.98,0.899,0.582,0.153,0.226,0.444,Medium (Mitigation),0.23280088058252701,0.98,8.277619999999999,Moderate,150.072
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,64.34,1.634,2,2,1,0,0.424,0.98,0.95,0.617,0.102,0.407,0.477,Medium (Mitigation),0.2687345344387282,0.98,37.02644,Moderate,1080.882
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,28.54,2.005,0,3,1,0,0.456,0.98,0.917,0.596,0.125,0.114,0.396,Low (Monitoring),0.25185362812554435,0.98,25.082549999999998,Low,495.396
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,31.53,3.769,0,2,0,0,0.424,0.98,0.95,0.629,0.236,0.426,0.511,Medium (Mitigation),0.2669236782303136,0.98,53.55749,Moderate,726.131
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,30.66,3.587,0,3,1,1,0.486,0.98,0.908,0.587,0.724,0.123,0.524,Medium (Mitigation),0.2406579522891359,0.98,60.476820000000004,Moderate,883.464
521004,Para,Dabhoi,22.072918,73.531128,211.0,53.0,54.5,1.192,0,2,0,0,0.549,0.98,0.898,0.585,0.074,0.518,0.525,Medium (Mitigation),0.21786387187109904,0.98,2.51512,Moderate,110.775
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,84.0,17.05,1.66,0,2,1,0,0.494,0.98,0.878,0.563,0.104,0.218,0.425,Medium (Mitigation),0.23663104191969406,0.98,5.8431999999999995,Moderate,149.6
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,98.0,34.29,1.976,0,2,0,1,0.528,0.98,0.882,0.571,0.624,0.437,0.604,Medium (Mitigation),0.22455047687917892,0.98,8.23992,Moderate,251.868
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,658.0,47.93,2.151,2,2,1,1,0.413,0.98,0.95,0.657,0.634,0.342,0.565,Medium (Mitigation),0.26777976025084493,0.98,64.80963,Moderate,1702.3449999999998
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,158.0,90.62,1.122,2,2,0,1,0.443,0.98,0.898,0.584,0.57,0.662,0.644,Medium (Mitigation),0.2545275034254648,0.98,8.37012,Moderate,480.42400000000004
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,132.0,64.63,1.982,0,2,0,1,0.539,0.98,0.882,0.574,0.624,0.559,0.643,Medium (Mitigation),0.22035180204996435,0.98,11.03974,Moderate,358.151
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,145.0,29.78,2.821,0,2,0,1,0.536,0.98,0.865,0.564,0.676,0.419,0.608,Medium (Mitigation),0.22042440125055726,0.98,20.931820000000002,Moderate,451.13599999999997
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,126.0,31.96,2.61,0,2,0,0,0.533,0.98,0.852,0.555,0.163,0.428,0.506,Medium (Mitigation),0.2212223617388923,0.98,15.190199999999999,Moderate,294.492
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,165.0,38.21,2.59,1,2,1,1,0.492,0.98,0.885,0.566,0.662,0.303,0.563,Medium (Mitigation),0.23809154401896204,0.98,19.6581,Moderate,427.31699999999995
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,75.0,15.62,1.789,0,1,0,1,0.508,0.98,0.896,0.583,0.612,0.512,0.622,Medium (Mitigation),0.2312262600426979,0.98,6.52985,Moderate,227.03
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,88.0,59.72,3.991,0,2,0,0,0.528,0.98,0.915,0.595,0.249,0.539,0.564,Medium (Mitigation),0.22609216409833108,0.98,17.04157,Moderate,240.82799999999997
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,131.0,26.16,2.728,0,2,0,0,0.492,0.98,0.928,0.59,0.17,0.405,0.501,Medium (Mitigation),0.24270901645111306,0.98,15.849680000000001,Moderate,291.081
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,24.0,100.0,0.343,0,2,0,0,0.499,0.98,0.915,0.576,0.05,0.7,0.565,Medium (Mitigation),0.24026166291497,0.98,0.34986000000000006,Moderate,57.629999999999995
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,296.0,39.9,1.972,0,2,1,1,0.443,0.98,0.95,0.668,0.623,0.31,0.56,Medium (Mitigation),0.2539374923086388,0.98,24.80776,Moderate,704.48
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,137.0,57.69,1.413,0,2,0,1,0.494,0.98,0.948,0.613,0.588,0.531,0.627,Medium (Mitigation),0.2422827205284493,0.98,9.28341,Moderate,411.939
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,627.0,29.12,2.405,0,3,0,1,0.423,0.98,0.946,0.616,0.65,0.266,0.544,Medium (Mitigation),0.268262775402527,0.98,67.1476,Moderate,1518.8480000000002
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,29.0,92.03,0.407,1,2,0,1,0.49,0.98,0.899,0.584,0.525,0.668,0.647,Medium (Mitigation),0.23784080810491712,0.98,0.5616599999999999,Moderate,89.286
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,125.0,61.55,1.382,0,3,0,0,0.397,0.98,0.95,0.627,0.086,0.396,0.465,Medium (Mitigation),0.2781540340650602,0.98,8.19526,Moderate,275.745
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,742.0,14.87,46.446,1,3,1,1,0.519,0.98,0.917,0.594,0.98,0.059,0.565,Medium (Mitigation),0.2298267463402233,0.98,1402.20474,Moderate,1705.735
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,244.0,41.77,2.168,2,1,1,1,0.288,0.98,0.95,0.648,0.636,0.467,0.574,Medium (Mitigation),0.32262413631551706,0.98,25.430640000000004,Moderate,673.3019999999999
521234,Satisana,Sinor,22.001769,73.406543,937.0,208.0,49.63,1.396,2,3,0,0,0.362,0.98,0.95,0.648,0.087,0.349,0.445,Medium (Mitigation),0.2903721749754959,0.98,13.08052,Moderate,416.96500000000003
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,82.0,6.16,4.637,0,2,1,0,0.443,0.98,0.939,0.604,0.29,0.175,0.447,Medium (Mitigation),0.26070225673489417,0.98,19.56814,Moderate,188.63400000000001
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,319.0,54.86,2.026,0,2,0,0,0.532,0.98,0.883,0.574,0.127,0.519,0.53,Medium (Mitigation),0.22274705385257063,0.98,27.290219999999998,Moderate,713.9100000000001
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,415.0,74.02,2.668,0,1,1,0,0.52,0.98,0.885,0.574,0.167,0.596,0.559,Medium (Mitigation),0.22699541111367574,0.98,54.53392000000001,Moderate,1142.596
520983,Boriyad,Dabhoi,22.120655,73.460479,1024.0,226.0,70.7,3.151,2,2,0,1,0.372,0.98,0.926,0.595,0.697,0.583,0.633,Medium (Mitigation),0.2867942061246473,0.98,32.266239999999996,Moderate,648.192
520988,Dharmpuri,Dabhoi,22.10525,73.445468,1732.0,390.0,57.45,1.912,2,3,0,1,0.492,0.98,0.921,0.599,0.619,0.38,0.584,Medium (Mitigation),0.239088547055967,0.98,33.11584,Moderate,1011.4879999999999
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,475.0,102.0,23.79,2.14,0,2,0,1,0.514,0.98,0.911,0.595,0.634,0.395,0.595,Medium (Mitigation),0.2298854787352462,0.98,10.165000000000001,Moderate,282.625
251213,Dabhoi,Dabhoi,22.132821,73.43051,51240.0,10259.0,28.63,2.3600000000000003,0,0,0,0,0.353,0.02,0.92,0.597,0.148,0.7,0.458,Medium (Mitigation),0.3806980430735099,0.92,1209.2640000000001,Moderate,23467.920000000002
521017,Kayavarohan,Dabhoi,22.075851,73.250283,8409.0,1899.0,34.37,2.502,1,3,1,1,0.476,0.98,0.94,0.605,0.656,0.137,0.517,Medium (Mitigation),0.24839535019802605,0.98,210.39318,Moderate,4347.453
520995,Puniyad,Dabhoi,22.100616,73.213227,1544.0,322.0,34.72,2.792,2,2,1,1,0.502,0.98,0.95,0.614,0.674,0.289,0.574,Medium (Mitigation),0.239701898198575,0.98,43.10848,Moderate,886.256
520992,Kothara,Dabhoi,22.101065,73.306994,824.0,185.0,60.44,1.93,0,2,0,0,0.494,0.98,0.903,0.584,0.121,0.542,0.53,Medium (Mitigation),0.23736101196279055,0.98,15.9032,Moderate,436.72
520990,Sathod,Dabhoi,22.088947,73.380113,3682.0,788.0,46.44,2.039,0,3,1,1,0.511,0.98,0.916,0.594,0.627,0.186,0.53,Medium (Mitigation),0.23231641497463468,0.98,75.07598000000002,Moderate,1951.46
520997,Sultanpura,Dabhoi,22.081722,73.275647,559.0,111.0,48.48,2.254,0,2,0,0,0.513,0.98,0.937,0.605,0.141,0.494,0.529,Medium (Mitigation),0.23434785398348898,0.98,12.599860000000001,Moderate,295.711
520996,Fofaliya,Dabhoi,22.077858,73.207523,985.0,199.0,37.56,2.165,2,1,0,1,0.426,0.98,0.95,0.621,0.635,0.6,0.642,Medium (Mitigation),0.26732299439691554,0.98,21.32525,Moderate,632.37
521015,Pisai,Dabhoi,22.065104,73.353468,1396.0,326.0,44.48,2.053,1,2,0,0,0.423,0.98,0.945,0.607,0.128,0.478,0.502,Medium (Mitigation),0.26944186138509857,0.98,28.659879999999998,Moderate,700.792
521014,Shirola,Dabhoi,22.056849,73.383541,1599.0,356.0,23.7,2.596,2,3,0,1,0.5,0.98,0.95,0.63,0.662,0.245,0.559,Medium (Mitigation),0.2372762103540934,0.98,41.51004,Moderate,893.8410000000001
521016,Karmal,Dabhoi,22.058746,73.302368,1401.0,333.0,47.39,3.052,2,2,1,1,0.451,0.98,0.921,0.598,0.691,0.34,0.577,Medium (Mitigation),0.25431017806345596,0.98,42.75852,Moderate,808.377
521018,Lingsthali,Dabhoi,22.042229,73.252039,1935.0,447.0,43.93,2.245,1,1,1,1,0.486,0.98,0.95,0.639,0.64,0.476,0.621,Medium (Mitigation),0.24094311223467943,0.98,43.44075,Moderate,1201.635
521019,Bananj,Dabhoi,22.024348,73.233382,835.0,197.0,62.87,1.998,0,2,0,1,0.368,0.98,0.95,0.617,0.625,0.551,0.612,Medium (Mitigation),0.2913799066510936,0.98,16.6833,Moderate,511.02
521143,Dhanora,Karjan,22.081782,73.187754,741.0,162.0,29.28,2.301,1,2,0,1,0.426,0.98,0.942,0.609,0.644,0.417,0.588,Medium (Mitigation),0.26718205403806594,0.98,17.050410000000003,Moderate,435.70799999999997
521144,Gandhara,Karjan,22.053571,73.215055,1828.0,413.0,33.04,2.344,1,3,0,1,0.382,0.98,0.95,0.639,0.646,0.282,0.541,Medium (Mitigation),0.2828690804359265,0.98,42.848319999999994,Moderate,988.9480000000001
521145,Ganpatpura,Karjan,22.055872,73.196843,1466.0,304.0,50.82,1.837,1,3,1,0,0.447,0.98,0.95,0.64,0.115,0.203,0.425,Medium (Mitigation),0.2560838078962953,0.98,26.930419999999998,Moderate,623.05
521156,Dhavat,Karjan,22.033506,73.18218,2340.0,539.0,47.44,1.84,1,3,0,1,0.439,0.98,0.95,0.629,0.615,0.34,0.564,Medium (Mitigation),0.26093485777105363,0.98,43.056000000000004,Moderate,1319.7599999999998
521157,Kurali,Karjan,22.024655,73.212051,1924.0,459.0,59.56,3.255,1,3,1,1,0.287,0.98,0.95,0.642,0.703,0.238,0.518,Medium (Mitigation),0.32350309117533943,0.98,62.6262,Moderate,996.6320000000001
521158,Vemar,Karjan,22.001203,73.236051,2655.0,570.0,52.32,2.541,1,3,1,1,0.496,0.98,0.922,0.595,0.659,0.209,0.541,Medium (Mitigation),0.23875562820591267,0.98,67.46355,Moderate,1436.355
521160,Kasampur,Karjan,22.010784,73.197272,601.0,143.0,56.41,1.247,1,1,0,1,0.368,0.98,0.95,0.651,0.578,0.676,0.643,Medium (Mitigation),0.2875034782398293,0.98,7.4944700000000015,Moderate,386.443
521159,Kothav,Karjan,22.000365,73.216065,998.0,198.0,33.07,1.976,1,2,0,0,0.424,0.98,0.95,0.66,0.124,0.432,0.492,Medium (Mitigation),0.2628225003051806,0.98,19.72048,Moderate,491.016
521172,Nishaliya,Karjan,21.994476,73.203651,533.0,114.0,51.59,1.89,1,2,0,1,0.414,0.98,0.95,0.649,0.618,0.506,0.61,Medium (Mitigation),0.2683186849003749,0.98,10.0737,Moderate,325.13
521171,Choranda,Karjan,21.988212,73.178437,3674.0,731.0,23.84,3.016,1,1,1,1,0.371,0.98,0.95,0.628,0.688,0.395,0.58,Medium (Mitigation),0.28877023738605745,0.98,110.80784,Moderate,2130.92
521217,Sandha,Sinor,22.051567,73.333742,714.0,165.0,41.88,2.462,2,1,0,0,0.365,0.98,0.95,0.616,0.154,0.618,0.538,Medium (Mitigation),0.29274605035764356,0.98,17.578680000000002,Moderate,384.132
521218,Damnagar,Sinor,22.048448,73.35436,587.0,134.0,42.25,1.784,0,2,0,1,0.336,0.98,0.899,0.586,0.612,0.469,0.571,Medium (Mitigation),0.2963628125569513,0.98,10.47208,Moderate,335.17699999999996
521216,Garadi,Sinor,22.046886,73.313492,1223.0,242.0,12.76,3.227,2,2,0,0,0.366,0.98,0.95,0.618,0.202,0.351,0.467,Medium (Mitigation),0.29207932712421353,0.98,39.46621,Moderate,571.1410000000001
521215,Nana Habipura,Sinor,22.045817,73.288605,771.0,171.0,43.06,2.394,2,2,0,1,0.398,0.98,0.924,0.597,0.65,0.472,0.596,Medium (Mitigation),0.27564394303763207,0.98,18.45774,Moderate,459.51599999999996
521225,Achisara,Sinor,22.032329,73.319689,937.0,212.0,45.57,1.28,2,2,0,1,0.378,0.98,0.95,0.629,0.58,0.482,0.586,Medium (Mitigation),0.28573457963641713,0.98,11.9936,Moderate,549.082
521222,Puniyad,Sinor,22.034808,73.362022,1426.0,343.0,45.65,2.088,2,1,0,1,0.438,0.98,0.922,0.597,0.631,0.633,0.65,Medium (Mitigation),0.2596438265521957,0.98,29.774880000000003,Moderate,926.9
521221,Anandi,Sinor,22.027457,73.377876,1470.0,332.0,42.86,1.939,2,2,1,1,0.399,0.98,0.95,0.627,0.621,0.321,0.55,Medium (Mitigation),0.277336137806333,0.98,28.5033,Moderate,808.5000000000001
521223,Bhekhada,Sinor,22.034538,73.340775,572.0,139.0,53.15,2.846,2,1,1,0,0.388,0.98,0.95,0.648,0.178,0.513,0.518,Medium (Mitigation),0.27932000763759596,0.98,16.27912,Moderate,296.296
521214,Timbarva,Sinor,22.02638,73.271644,2047.0,504.0,47.19,1.32,2,2,1,1,0.309,0.98,0.95,0.629,0.582,0.339,0.528,Medium (Mitigation),0.3149952380592443,0.98,27.0204,Moderate,1080.816
521224,Chhanbhoi,Sinor,22.018022,73.343451,817.0,203.0,62.79,1.559,2,1,0,1,0.49,0.98,0.925,0.598,0.597,0.701,0.675,High (Relocation Priority),0.2409818457892627,0.98,12.737029999999999,High,551.475
521231,Avakhal,Sinor,22.0029,73.3245,3162.0,753.0,45.51,2.353,2,3,1,0,0.525,0.98,0.922,0.598,0.147,0.182,0.437,Medium (Mitigation),0.22807655878381422,0.98,74.40186,Moderate,1381.794
521232,Malpur,Sinor,22.006701,73.353646,1179.0,246.0,46.99,2.557,2,3,0,1,0.502,0.98,0.95,0.641,0.66,0.338,0.587,Medium (Mitigation),0.23448720647404198,0.98,30.14703,Moderate,692.073
521226,Tarva,Sinor,22.00933,73.267989,808.0,179.0,68.32,1.548,2,2,0,0,0.369,0.98,0.95,0.639,0.097,0.573,0.515,Medium (Mitigation),0.2883406550130129,0.98,12.507840000000002,Moderate,416.12
521233,Segva,Sinor,22.006763,73.374721,1414.0,308.0,48.16,3.121,2,3,1,0,0.393,0.98,0.95,0.629,0.195,0.193,0.426,Medium (Mitigation),0.2795317513271077,0.98,44.13094,Moderate,602.364
