village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,drainage_quality_score,road_connectivity_score,healthcare_access_score,surface_water_exposure,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,exposure_score_TARGET,vulnerability_score_TARGET,composite_risk_score_TARGET,priority_category_TARGET,hazard_diversity,max_hazard,exposure_score_calc,risk_category,red_zone_priority
519822,Dhanora,Savli,22.46833,73.335342,1254.0,255.0,26.87,4.463,1,2,0,0,0.507,0.98,0.872,0.583,0.279,0.407,0.521,Medium (Mitigation),0.226481051451698,0.98,55.96602,Moderate,653.3340000000001
519806,Chandranagar,Savli,22.474179,73.25903,191.0,38.0,47.64,0.369,1,2,0,0,0.389,0.98,0.914,0.593,0.05,0.491,0.479,Medium (Mitigation),0.27744188580673973,0.98,0.70479,Moderate,91.48899999999999
519814,Lamdapura,Savli,22.468742,73.226131,880.0,161.0,47.16,2.716,0,2,0,1,0.43,0.98,0.894,0.582,0.67,0.489,0.608,Medium (Mitigation),0.2588506647985797,0.98,23.900800000000004,Moderate,535.04
519813,Manjusar,Savli,22.443886,73.19595,5001.0,1024.0,16.5,3.559,2,3,1,1,0.491,0.98,0.885,0.576,0.722,0.066,0.504,Medium (Mitigation),0.23616801928570544,0.98,177.98559,Moderate,2520.504
519816,Alindra,Savli,22.453463,73.236236,622.0,151.0,34.89,0.739,0,2,0,1,0.465,0.98,0.913,0.593,0.546,0.44,0.58,Medium (Mitigation),0.24815502547131033,0.98,4.59658,Moderate,360.76
519819,Khokhar,Savli,22.458132,73.261182,1108.0,230.0,13.36,3.212,0,2,1,1,0.483,0.98,0.95,0.614,0.701,0.203,0.549,Medium (Mitigation),0.24664600138660264,0.98,35.58896,Moderate,608.292
519812,Kunpad,Savli,22.456832,73.177151,2788.0,581.0,4.38,5.31,0,2,0,0,0.546,0.98,0.944,0.609,0.332,0.318,0.523,Medium (Mitigation),0.22395888759621332,0.98,148.0428,Moderate,1458.124
519823,Haripura,Savli,22.455581,73.339935,741.0,146.0,50.47,1.123,1,2,0,1,0.533,0.98,0.877,0.572,0.57,0.502,0.613,Medium (Mitigation),0.2216912267095836,0.98,8.32143,Moderate,454.233
519821,Garadhiya,Savli,22.452432,73.313987,1719.0,367.0,43.92,3.487,1,3,1,1,0.531,0.98,0.92,0.594,0.718,0.176,0.55,Medium (Mitigation),0.22652501701430977,0.98,59.94153,Moderate,945.45
519815,Zumkal,Savli,22.450561,73.219561,271.0,65.0,32.1,1.221,0,2,0,1,0.498,0.98,0.895,0.583,0.576,0.428,0.587,Medium (Mitigation),0.2344027872416765,0.98,3.30891,Moderate,159.077
