village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET
521212,Alampura,Karjan,21.852286,73.21197,195.0,2.05,7.69,639.0,3.277,1,0,1,0.0,1.0,15.0,52.0,0.364,0.631,68.2,54315.0,0,Private / Mixed,Medium,Moderate,0.519,3069
521189,Ranapur,Karjan,21.948871,73.255503,618.0,2.59,23.14,1166.0,1.887,2,0,1,0.0,1.0,20.0,50.0,0.516,0.639,216.3,99110.0,0,Government Revenue Land,High,Moderate,0.724,9733
521185,Latipur Timbi,Karjan,21.946091,73.184216,230.0,2.34,1.87,908.0,3.948,2,0,0,0.0,1.0,20.0,41.0,0.49,0.629,80.5,77180.0,0,Private / Mixed,Medium,Moderate,0.641,3622
521005,Surajghoda,Dabhoi,22.067393,73.538224,79.0,1.28,7.69,77.0,0.975,2,0,0,0.0,1.0,16.0,48.0,0.479,0.607,27.6,6545.0,0,Private / Mixed,Medium,Moderate,0.578,1242
521135,Kanabha,Karjan,22.0648,73.030688,451.0,1.21,1.01,1574.0,3.49,2,0,0,0.0,1.0,10.0,45.0,0.553,0.592,157.8,133790.0,0,Private / Mixed,Medium,High,0.718,7101
521141,Karamadi,Karjan,22.050547,73.08421,391.0,1.3,5.22,1763.0,4.509,2,0,0,0.0,1.0,3.0,40.0,0.466,0.585,136.8,149855.0,0,Private / Mixed,Medium,High,0.732,6156
521220,Vaniyad,Sinor,22.028989,73.401592,632.0,14.87,0.79,851.0,1.347,2,0,2,0.0,1.0,14.0,48.0,0.346,0.648,221.2,72335.0,0,Private / Mixed,Medium,High,0.782,9954
521206,Lilod,Karjan,21.882002,73.226019,387.0,1.69,19.57,1223.0,3.16,2,0,1,0.0,1.0,18.0,54.0,0.532,0.627,135.4,103955.0,0,Government Revenue Land,High,Moderate,0.7,6093
521097,Bhadara,Padra,22.141,73.033592,385.0,1.3,4.42,730.0,1.896,2,0,1,0.0,1.0,13.0,40.0,0.51,0.585,134.8,62050.0,0,Private / Mixed,Medium,High,0.713,6066
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,195.0,2.56,10.77,619.0,3.174,1,0,0,0.0,1.0,22.0,22.0,0.569,0.593,68.2,52615.0,0,Private / Mixed,Medium,Moderate,0.453,3069
519890,Meghakui,Vadodara Rural,22.138633,73.278804,446.0,0.93,8.16,1208.0,2.709,2,0,2,0.0,1.0,21.0,21.0,0.34,0.625,156.1,102680.0,0,Private / Mixed,Medium,Moderate,0.787,7024
519858,Talsat,Vadodara Rural,22.238004,73.1711,230.0,12.23,0.44,1124.0,4.887,2,1,2,0.0,1.0,12.0,12.0,0.512,0.649,80.5,95540.0,0,Private / Mixed,Medium,High,0.631,3622
519835,Sisva,Vadodara Rural,22.397016,73.178636,418.0,7.32,4.07,2799.0,6.696,2,1,0,0.0,1.0,15.0,15.0,0.559,0.606,146.3,237915.0,0,Private / Mixed,Medium,Moderate,0.709,6583
519884,Vadsala,Vadodara Rural,22.157934,73.174287,695.0,0.45,0.0,3156.0,4.541,1,0,1,0.0,1.0,18.0,18.0,0.441,0.615,243.2,268260.0,0,Private / Mixed,Medium,Moderate,0.603,10944
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,254.0,0.8,0.8,223.0,0.878,2,0,1,0.0,1.0,15.0,15.0,0.375,0.636,88.9,18955.0,0,Private / Mixed,Medium,Moderate,0.692,4000
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,591.0,5.41,0.0,1747.0,2.956,2,0,2,0.0,1.0,10.0,10.0,0.507,0.597,206.8,148495.0,0,Private / Mixed,Medium,High,0.733,9306
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,0.0,,,311.0,,0,0,0,,,0.0,,0.548,0.596,0.0,26435.0,0,Private / Mixed,Medium,High,0.239,0
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,,,0.0,,0,0,0,,,0.0,,0.55,0.587,0.0,0.0,0,Private / Mixed,Medium,High,0.239,0
521151,Dhamanja,Karjan,21.998056,73.080688,581.0,0.52,4.48,890.0,1.532,2,0,0,0.0,1.0,8.0,46.0,0.529,0.584,203.4,75650.0,0,Private / Mixed,Medium,High,0.727,9153
521152,Lakodara,Karjan,21.995859,73.111902,738.0,1.27,2.68,1947.0,2.638,3,0,0,0.0,1.0,7.0,37.0,0.538,0.595,258.3,165495.0,0,Private / Mixed,Medium,High,0.872,11623
521162,Osalam,Karjan,21.991137,73.145019,817.0,0.98,3.92,1678.0,2.054,2,0,1,0.0,1.0,12.0,45.0,0.393,0.65,286.0,142630.0,0,Private / Mixed,Medium,High,0.765,12870
521112,Kotna,Padra,22.0948,72.981493,748.0,2.41,5.35,1214.0,1.623,2,0,1,0.0,1.0,15.0,40.0,0.498,0.606,260.8,103190.0,0,Private / Mixed,Medium,Moderate,0.735,11736
521116,Kothwada,Padra,22.110103,73.07992,235.0,8.51,4.68,780.0,3.319,2,0,1,0.0,0.0,10.0,28.0,0.539,0.618,82.2,66300.0,0,Private / Mixed,Medium,High,0.628,3699
521113,Shahera,Padra,22.100724,73.017333,310.0,5.81,4.84,869.0,2.803,1,0,1,0.0,1.0,17.0,37.0,0.512,0.593,108.2,73865.0,0,Private / Mixed,Medium,Moderate,0.526,4869
521117,Vasnaref,Padra,22.08068,72.97523,434.0,5.76,3.23,407.0,0.938,2,0,1,0.0,1.0,16.0,51.0,0.506,0.586,151.9,34595.0,0,Private / Mixed,Medium,Moderate,0.735,6835
521119,Sokhdaraghu,Padra,22.064954,72.97663,351.0,3.98,0.57,2015.0,5.741,2,0,1,0.0,1.0,15.0,51.0,0.527,0.626,122.8,171275.0,0,Private / Mixed,Medium,Moderate,0.685,5526
519899,Kashipura,Vadodara Rural,22.116365,73.166323,469.0,0.42,0.84,1117.0,2.382,2,1,2,0.0,1.0,8.0,22.0,0.402,0.606,164.1,94945.0,0,Private / Mixed,Medium,High,0.768,7384
519898,Sarar,Vadodara Rural,22.104863,73.149804,1103.0,0.2,1.08,2480.0,2.248,2,0,2,0.0,1.0,8.0,20.0,0.482,0.607,386.0,210800.0,0,Private / Mixed,Medium,High,0.74,17370
251215,Karjan,Karjan,22.053736,73.127378,0.0,,,30405.0,,0,0,0,0.0,0.0,0.0,,0.651,0.286,0.0,2584425.0,0,Private / Mixed,Medium,High,0.249,0
520999,Mandala,Dabhoi,22.082633,73.328643,1879.0,0.43,1.6,3427.0,1.824,3,1,2,0.0,1.0,10.0,30.0,0.522,0.574,611.4,291295.0,0,Private / Mixed,Medium,High,0.881,27513
520998,Parikha,Dabhoi,22.082741,73.291885,666.0,1.05,8.87,1131.0,1.698,2,0,2,0.0,1.0,15.0,25.0,0.424,0.286,233.1,96135.0,0,Private / Mixed,Medium,Moderate,0.809,10489
520973,Nada,Dabhoi,22.131256,73.375066,1044.0,0.0,1.82,1826.0,1.749,3,1,0,0.0,1.0,5.0,35.0,0.293,0.573,336.4,155210.0,0,Private / Mixed,Medium,High,0.962,15137
520979,Sejpura,Dabhoi,22.122262,73.298782,233.0,0.0,4.31,421.0,1.807,2,0,0,0.0,1.0,12.0,30.0,0.487,0.621,79.4,35785.0,0,Private / Mixed,Medium,High,0.642,3573
520982,Tharvasa,Dabhoi,22.112532,73.392616,340.0,4.71,0.0,731.0,2.15,3,0,0,0.0,1.0,3.0,45.0,0.404,0.586,119.0,62135.0,0,Private / Mixed,Medium,High,0.879,5355
520981,Baripura,Dabhoi,22.112979,73.33336,388.0,16.24,3.87,720.0,1.856,2,0,0,0.0,1.0,9.0,27.0,0.497,0.605,135.8,61200.0,0,Private / Mixed,Medium,High,0.716,6111
520980,Vakhatpura,Dabhoi,22.115875,73.315005,181.0,13.26,0.0,180.0,0.994,1,0,0,0.0,1.0,11.0,30.0,0.528,0.576,63.4,15300.0,0,Private / Mixed,Medium,High,0.463,2853
520991,Habipura,Dabhoi,22.106409,73.353946,979.0,0.31,8.69,1688.0,1.724,3,0,0,0.0,1.0,6.0,36.0,0.512,0.584,342.6,143480.0,0,Private / Mixed,Medium,High,0.883,15417
