village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,25.69,0.604,Medium (Mitigation),592.524
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,18.93,0.444,Medium (Mitigation),150.072
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,64.34,0.477,Medium (Mitigation),1080.882
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,28.54,0.396,Low (Monitoring),495.396
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,31.53,0.511,Medium (Mitigation),726.131
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,30.66,0.524,Medium (Mitigation),883.464
521004,Para,Dabhoi,22.072918,73.531128,211.0,53.0,54.5,0.525,Medium (Mitigation),110.775
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,84.0,17.05,0.425,Medium (Mitigation),149.6
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,98.0,34.29,0.604,Medium (Mitigation),251.868
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,658.0,47.93,0.565,Medium (Mitigation),1702.3449999999998
521009,Asodara,Dabhoi,22.048387,73.5033,746.0,158.0,90.62,0.644,Medium (Mitigation),480.42400000000004
521008,Nagdol,Dabhoi,22.053618,73.516519,557.0,132.0,64.63,0.643,Medium (Mitigation),358.151
521011,Ordi,Dabhoi,22.050937,73.459476,742.0,145.0,29.78,0.608,Medium (Mitigation),451.13599999999997
521022,Paragam,Dabhoi,22.040225,73.47484,582.0,126.0,31.96,0.506,Medium (Mitigation),294.492
521021,Rajpura,Dabhoi,22.034954,73.452827,759.0,165.0,38.21,0.563,Medium (Mitigation),427.31699999999995
521026,Gumanpura,Dabhoi,22.027967,73.466711,365.0,75.0,15.62,0.622,Medium (Mitigation),227.03
521025,Bhumasiya,Dabhoi,22.029212,73.484929,427.0,88.0,59.72,0.564,Medium (Mitigation),240.82799999999997
521024,Sompura,Dabhoi,22.025399,73.498561,581.0,131.0,26.16,0.501,Medium (Mitigation),291.081
521030,Jesangpura,Dabhoi,22.019937,73.480743,102.0,24.0,100.0,0.565,Medium (Mitigation),57.629999999999995
521027,Sanor,Dabhoi,22.01772,73.454152,1258.0,296.0,39.9,0.56,Medium (Mitigation),704.48
521031,Bhalodra,Dabhoi,22.010556,73.493043,657.0,137.0,57.69,0.627,Medium (Mitigation),411.939
521028,Mandva,Dabhoi,22.001965,73.434328,2792.0,627.0,29.12,0.544,Medium (Mitigation),1518.8480000000002
521033,Gamdi,Dabhoi,21.999967,73.472539,138.0,29.0,92.03,0.647,Medium (Mitigation),89.286
521029,Fulwadi,Dabhoi,22.007016,73.452339,593.0,125.0,61.55,0.465,Medium (Mitigation),275.745
521034,Chandod,Dabhoi,21.991799,73.460127,3019.0,742.0,14.87,0.565,Medium (Mitigation),1705.735
521219,Nana Karala,Sinor,22.018617,73.417563,1173.0,244.0,41.77,0.574,Medium (Mitigation),673.3019999999999
521234,Satisana,Sinor,22.001769,73.406543,937.0,208.0,49.63,0.445,Medium (Mitigation),416.96500000000003
521032,Baglipura,Dabhoi,22.003732,73.504446,422.0,82.0,6.16,0.447,Medium (Mitigation),188.63400000000001
520985,Bhimpura Kukad,Dabhoi,22.139255,73.508042,1347.0,319.0,54.86,0.53,Medium (Mitigation),713.9100000000001
520984,Karnet,Dabhoi,22.114336,73.484308,2044.0,415.0,74.02,0.559,Medium (Mitigation),1142.596
